list_name,name,label,area,species,smu,cu
cu_list,CM-01,FRASER CANYON,FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-01
cu_list,CM-02,LOWER FRASER,FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-02
cu_list,CK-9000,HATCHERY EXCLUSION-LOWER FRASER RIVER,FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-9000
cu_list,CK-03,LOWER FRASER RIVER_FA_0.3,FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-03
cu_list,PKO-01,FRASER RIVER,FRASER AND INTERIOR,Pink Odd,FRASER PINK SALMON - ODD,PKO-01
cu_list,SEL-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY STUART,SEL-06-14
cu_list,SEL-03-05,PITT-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-03-05
cu_list,SEL-06-02,CHILKO-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-06-02
cu_list,SEL-10-03,NORTH BARRIERE-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-10-03
cu_list,SEL-09-02,SHUSWAP COMPLEX-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-09-02
cu_list,SEL-07-01,BOWRON-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-07-01
cu_list,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-06-20
cu_list,SEL-06-16,TASEKO-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-06-16
cu_list,SEL-03-01,CHILLIWACK-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-03-01
cu_list,SEL-07-02,INDIAN/KRUGER-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-07-02
cu_list,SEL-06-04,FRANCOIS-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-06-04
cu_list,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-06-01
cu_list,SEL-05-02,NAHATLATCH-EARLY SUMMER TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-05-02
cu_list,SEL-03-04,HARRISON-UPSTREAM MIGRATING-LATE TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - LATE,SEL-03-04
cu_list,SEL-03-02,CULTUS-LATE TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - LATE,SEL-03-02
cu_list,SEL-03-03,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - LATE,SEL-03-03
cu_list,SEL-04-01,LILLOOET/HARRISON-LATE TIMING,FRASER AND INTERIOR,Sockeye Lake Type ,FRASER SOCKEYE SALMON - LATE,SEL-04-01
